Ticker,Sector,Industry
RAMRAT.NS,Producer Manufacturing,Electrical Products
RANASUG.NS,Process Industries,Agricultural Commodities/Milling
RANEHOLDIN.NS,Producer Manufacturing,Auto Parts: OEM
RAPIDFLEET.NS,Transportation,Trucking
RAPPID.NS,Producer Manufacturing,Industrial Machinery
RATEGAIN.NS,Technology Services,Packaged Software
RATNAMANI.NS,Non-Energy Minerals,Steel
RATNAVEER.NS,Non-Energy Minerals,Steel
RAYMOND.NS,Process Industries,Textiles
RAYMONDLSL.NS,Consumer Non-Durables,Apparel/Footwear
RAYMONDREL.NS,Finance,Real Estate Development
RBA.NS,Consumer Services,Restaurants
RBLBANK.NS,Finance,Major Banks
RBMINFRA.NS,Industrial Services,Engineering & Construction
RBS.NS,Process Industries,Agricultural Commodities/Milling
RBZJEWEL.NS,Consumer Durables,Other Consumer Specialties
RCDL.NS,Process Industries,Agricultural Commodities/Milling
RCF.NS,Process Industries,Chemicals: Agricultural
RCOM.NS,Communications,Major Telecommunications
READYMIX.NS,Producer Manufacturing,Trucks/Construction/Farm Machinery
RECLTD.NS,Finance,Finance/Rental/Leasing
REDINGTON.NS,Distribution Services,Electronics Distributors
REDTAPE.NS,Retail Trade,Apparel/Footwear Retail
REFEX.NS,Energy Minerals,Coal
REFRACTORY.NS,Non-Energy Minerals,Construction Materials
REGAAL.NS,Process Industries,Agricultural Commodities/Milling
REGENCERAM.NS,Producer Manufacturing,Building Products
RELAXO.NS,Consumer Non-Durables,Apparel/Footwear
RELCHEMQ.NS,Process Industries,Textiles
RELIABLE.NS,Technology Services,Data Processing Services
RELIANCE.NS,Energy Minerals,Oil Refining/Marketing
RELIGARE.NS,Finance,Multi-Line Insurance
RELINFRA.NS,Utilities,Electric Utilities
RELTD.NS,Utilities,Alternative Power Generation
REMSONSIND.NS,Producer Manufacturing,Auto Parts: OEM
REMUS.NS,Health Technology,Pharmaceuticals: Major
RENUKA.NS,Process Industries,Agricultural Commodities/Milling
REPCOHOME.NS,Finance,Finance/Rental/Leasing
REPL.NS,Industrial Services,Engineering & Construction
REPRO.NS,Commercial Services,Commercial Printing/Forms
RESPONIND.NS,Non-Energy Minerals,Forest Products
