Ticker,Industry,Sector,Current_Price,High_52W,Pct_From_High,RS_Percentile,Return_3M,Return_6M,Avg_Volume,Industry_Rank
ICIL.NS,Textiles,Process Industries,450.8500061035156,474.6499938964844,-5.014218497632439,88,39.65972586769912,74.7296699220843,810217.8095238095,17
TARSONS.NS,Containers/Packaging,Process Industries,325.1499938964844,375.0,-13.293334960937496,88,61.76616611765391,67.30986931334506,455810.14285714284,9
KIRIINDUS.NS,Chemicals: Specialty,Process Industries,588.0999755859375,779.0,-24.505779770739732,87,46.85977217098745,48.90491389012992,968017.9604743083,11
GLAND.NS,Pharmaceuticals: Major,Health Technology,2959.300048828125,3042.0,-2.718604575012329,87,31.803427676180473,78.86365521126828,370958.6785714286,13
NRBBEARING.NS,Auto Parts: OEM,Producer Manufacturing,489.6000061035156,503.8999938964844,-2.837862267548741,87,14.970059665680413,87.43533958023828,458722.4404761905,18
ATLANTAELE.NS,Electrical Products,Producer Manufacturing,1922.300048828125,2152.60009765625,-10.698691739300559,87,4.263171868410098,90.59092755890474,256702.48101265822,19
SHREEPUSHK.NS,Chemicals: Specialty,Process Industries,510.04998779296875,535.4000244140625,-4.734784360317623,87,42.61149070244188,60.342652626982044,211334.58893280633,11
AZAD.NS,Metal Fabrication,Producer Manufacturing,2822.10009765625,2986.60009765625,-5.507935264888397,87,31.254358842759178,75.11169895806216,360588.73913043475,12
DYCL.NS,Electrical Products,Producer Manufacturing,460.6000061035156,560.0,-17.749998910086497,87,52.07362717825188,64.40537318902028,563378.0595238095,19
IKIO.NS,Electrical Products,Producer Manufacturing,219.72999572753906,248.8800048828125,-11.712475322796223,87,45.87398831891769,62.87153640427341,670258.126984127,19
APOLLO.NS,Electronic Production Equipment,Electronic Technology,417.8999938964844,466.5,-10.41800773923165,87,2.076209117421035,96.51085615538506,9890959.557312254,7
JGCHEM.NS,Chemicals: Specialty,Process Industries,611.2000122070312,675.0,-9.451850043402777,86,42.40447223291539,69.87216035113366,231351.24603174604,11
AEQUS.NS,Aerospace & Defense,Electronic Technology,231.89999389648438,274.3900146484375,-15.485264945371103,86,27.047606118094826,83.93083005124547,5492991.724867725,16
NITINSPIN.NS,Textiles,Process Industries,655.0999755859375,660.9500122070312,-0.8850951680232866,86,17.118084236921383,81.84593354224496,285548.40079365077,17
NRAIL.NS,Containers/Packaging,Process Industries,644.3499755859375,649.9000244140625,-0.8539850160997897,86,45.70189934314259,48.392659890457935,17934.14342629482,9
RAMRAT.NS,Electrical Products,Producer Manufacturing,531.25,602.4500122070312,-11.818409953415932,86,40.93497010475238,62.61233426885868,200700.9642857143,19
MANYAVAR.NS,Internet Retail,Retail Trade,579.5499877929688,779.0,-25.603339179336494,86,46.14802815112955,61.72735535702927,491491.25498007966,6
DIVGIITTS.NS,Auto Parts: OEM,Producer Manufacturing,1189.300048828125,1329.800048828125,-10.565498183265554,86,48.34726589987874,62.90665964169466,96507.112,18
REDINGTON.NS,Electronics Distributors,Distribution Services,373.54998779296875,381.6000061035156,-2.109543548687254,86,61.671057631462475,54.36872633958107,6617912.177865612,3
SEDEMAC.NS,Auto Parts: OEM,Producer Manufacturing,2867.5,3368.89990234375,-14.883193828196706,85,3.493703776447643,97.60871395798463,207978.28346456692,18
STALLION.NS,Wholesale Distributors,Distribution Services,212.77000427246094,423.79998779296875,-49.7947120337338,85,15.919368419985048,94.25728717590222,1793845.162055336,15
THEMISMED.NS,Pharmaceuticals: Major,Health Technology,132.1699981689453,148.0,-10.69594718314506,85,31.76154060988914,61.754986721155845,249224.07142857142,13
WOCKPHARMA.NS,Pharmaceuticals: Major,Health Technology,2224.0,2422.300048828125,-8.186436231302551,84,14.75748194014448,70.3692322970698,1248894.162055336,13
SKIPPER.NS,Metal Fabrication,Producer Manufacturing,604.7000122070312,616.6979610926131,-1.9455146023711345,84,11.04380609475224,76.76460313535152,611662.380952381,12
MVGJL.NS,Specialty Stores,Retail Trade,210.72000122070312,233.99000549316406,-9.944871031314529,84,46.42484598600869,42.51318838825351,111698.62,8
ORCHPHARMA.NS,Pharmaceuticals: Major,Health Technology,965.7999877929688,1133.0,-14.757282630805935,84,14.167500899167361,89.53979215585328,117328.44047619047,13
SUNDRMFAST.NS,Auto Parts: OEM,Producer Manufacturing,1255.0,1278.0,-1.7996870109546204,84,50.146561782242685,49.48103084008781,131111.6374501992,18
WINDLAS.NS,Pharmaceuticals: Major,Health Technology,1146.0999755859375,1181.9000244140625,-3.0290251365273635,84,40.08966985299005,53.080024182755906,67797.76190476191,13
INNOVACAP.NS,Pharmaceuticals: Major,Health Technology,1171.800048828125,1200.0,-2.349995930989579,84,24.335512085569544,66.60269986530352,67484.06349206349,13
ARVIND.NS,Textiles,Process Industries,581.3499755859375,595.2380724658142,-2.3332003650815336,83,18.503700177677707,75.73871479953638,661210.1778656127,17
NELCO.NS,Electronic Production Equipment,Electronic Technology,973.0999755859375,1120.0,-13.116073608398438,83,37.9500909989674,62.40750197288718,267006.20238095237,7
DIVISLAB.NS,Pharmaceuticals: Major,Health Technology,9575.0,9588.0,-0.13558614935336166,83,44.840079552137354,50.886450974407026,388200.03571428574,13
JYOTICNC.NS,Metal Fabrication,Producer Manufacturing,1037.199951171875,1058.8499755859375,-2.0446734583038584,83,52.14902927959446,34.53530511046219,993273.8656126482,12
SHAILY.NS,Chemicals: Specialty,Process Industries,3407.800048828125,3615.199951171875,-5.736886068404623,83,14.66352788789116,78.55908036825387,304734.09881422925,11
HIRECT.NS,Electrical Products,Producer Manufacturing,1281.4000244140625,1397.5377365248423,-8.310166450286427,82,15.375135216884473,78.23270431708667,140380.75396825396,19
VISHNU.NS,Chemicals: Specialty,Process Industries,731.5499877929688,740.7999877929688,-1.2486501285668306,82,26.692247425504956,51.07878121423162,114930.66666666667,11
SOLARA.NS,Pharmaceuticals: Major,Health Technology,701.7999877929688,712.0,-1.4325859841336053,82,15.323309813576724,55.24831473159586,245402.67984189725,13
CAPLIPOINT.NS,Pharmaceuticals: Major,Health Technology,2770.10009765625,2877.300048828125,-3.7257133198720704,81,18.837413026866145,66.14314647605129,117958.62948207172,13
KIRLOSENG.NS,Electrical Products,Producer Manufacturing,2272.800048828125,2714.2611782271474,-16.264504423534078,81,26.681423549036797,58.475191557331186,613998.047808765,19
SONACOMS.NS,Auto Parts: OEM,Producer Manufacturing,804.0,844.0,-4.739336492891,81,35.9643911278386,56.160922592515305,2219169.2529644268,18
UNICHEMLAB.NS,Pharmaceuticals: Major,Health Technology,555.5999755859375,687.2000122070312,-19.150179610510087,81,24.128679180009872,67.80427826758597,256076.56916996048,13
MOL.NS,Chemicals: Specialty,Process Industries,65.81999969482422,87.75,-24.99145333923166,81,42.74560577656514,43.99475172420815,1105950.7698412698,11
GUJTHEM.NS,Pharmaceuticals: Major,Health Technology,453.25,479.0,-5.375782881002089,81,17.02814724649173,55.97040278056507,236872.88537549408,13
OPTIEMUS.NS,Electronics Distributors,Distribution Services,556.3499755859375,713.0,-21.970550408704415,80,34.59537132475818,55.64413388905005,219050.47011952192,3
QUADFUTURE.NS,Electrical Products,Producer Manufacturing,441.0,485.0,-9.07216494845361,80,28.853177501826146,46.29291164106106,1144256.256916996,19
LENSKART.NS,Medical Specialties,Health Technology,695.75,697.5999755859375,-0.2651914636871422,80,40.81157486450992,39.40091995424626,6289981.5592417065,5
GABRIEL.NS,Auto Parts: OEM,Producer Manufacturing,1389.5999755859375,1596.6964052725275,-12.97030725457432,80,38.032825408820095,54.736647296951865,454622.2698412698,18
ASKAUTOLTD.NS,Auto Parts: OEM,Producer Manufacturing,610.1500244140625,687.7000122070312,-11.276717524562496,80,42.629585753902965,51.33576352879581,385278.8932806324,18
APCOTEXIND.NS,Chemicals: Specialty,Process Industries,612.1500244140625,712.0,-14.02387297555302,80,18.576275915556906,69.15152752973843,115792.1155378486,11
DPABHUSHAN.NS,Specialty Stores,Retail Trade,1411.5999755859375,1670.0,-15.473055354135479,80,59.05351837588029,39.914752842408795,38568.346613545815,8
GRWRHITECH.NS,Chemicals: Specialty,Process Industries,6975.5,7990.0,-12.697121401752188,80,11.768947284089082,71.21993127147765,81584.37301587302,11
PPLPHARMA.NS,Pharmaceuticals: Major,Health Technology,226.6199951171875,231.92999267578125,-2.289482915655794,80,40.48725965349467,45.85827523921837,4873088.313492063,13
